List of U.S. metropolitan areas by GDP per capita


# List of U.S. metropolitan areas by GDP per capita



This is a list of U.S. metropolitan areas by their gross domestic product per capita in 2021.


## GDP per capita for US metropolitan statistical areas (in 2021 dollars)

| Rank | City | Population | GDP (in millions of USD) | GDP per capita |
| 252 | Springfield, MO MSA | 481,483 | $23,930 | $49,701 |
| 253 | Ogden-Clearfield, UT MSA | 706,696 | $35,071 | $49,627 |
| 254 | Palm Bay-Melbourne-Titusville, FL MSA | 616,628 | $30,589 | $49,607 |
| 255 | Cape Girardeau, MO-IL MSA | 97,699 | $4,838 | $49,519 |
| 256 | Saginaw, MI MSA | 189,591 | $9,363 | $49,385 |
| 257 | Fresno, CA MSA | 1,013,581 | $49,987 | $49,317 |
| 258 | Goldsboro, NC MSA | 116,835 | $5,761 | $49,309 |
| 259 | Sebastian-Vero Beach, FL MSA | 163,662 | $8,063 | $49,266 |
| 260 | Salem, OR MSA | 436,283 | $21,487 | $49,250 |
| 261 | Eugene-Springfield, OR MSA | 383,189 | $18,848 | $49,187 |
| 262 | Great Falls, MT MSA | 84,511 | $4,150 | $49,106 |
| 263 | Lancaster, PA MSA | 553,652 | $27,183 | $49,098 |
| 264 | Medford, OR MSA | 223,734 | $10,949 | $48,938 |
| 265 | Kingsport-Bristol, TN-VA MSA | 308,661 | $15,104 | $48,934 |
| 266 | Logan, UT-ID MSA | 152,083 | $7,425 | $48,822 |
| 267 | Lebanon, PA MSA | 143,493 | $6,911 | $48,163 |
| 268 | Tuscaloosa, AL MSA | 268,191 | $12,913 | $48,149 |
| 269 | Jonesboro, AR MSA | 134,878 | $6,494 | $48,147 |
| 270 | Grand Forks, ND-MN MSA | 103,462 | $4,981 | $48,143 |
| 271 | Greensboro-High Point, NC MSA | 778,848 | $37,466 | $48,104 |
| 272 | Chico, CA MSA | 208,309 | $10,006 | $48,034 |
| 273 | Jacksonville, NC MSA | 206,160 | $9,900 | $48,021 |
| 274 | Vineland-Bridgeton, NJ MSA | 153,627 | $7,376 | $48,012 |
| 275 | Modesto, CA MSA | 552,999 | $26,519 | $47,955 |
| 276 | Jackson, MI MSA | 160,050 | $7,651 | $47,804 |
| 277 | Tucson, AZ MSA | 1,052,030 | $50,231 | $47,747 |
| 278 | Roanoke, VA MSA | 314,496 | $15,012 | $47,734 |
| 279 | Wichita Falls, TX MSA | 149,013 | $7,096 | $47,620 |
| 280 | Grand Junction, CO MSA | 157,335 | $7,444 | $47,313 |
| 281 | Hanford-Corcoran, CA MSA | 153,443 | $7,258 | $47,301 |
| 282 | Lafayette, LA MSA | 479,212 | $22,650 | $47,265 |
| 283 | Enid, OK MSA | 61,926 | $2,926 | $47,250 |
| 284 | Kingston, NY MSA | 182,951 | $8,622 | $47,127 |
| 285 | Farmington, NM MSA | 120,993 | $5,698 | $47,094 |
| 286 | Pensacola-Ferry Pass-Brent, FL MSA | 516,388 | $24,309 | $47,075 |
| 287 | Dalton, GA MSA | 142,799 | $6,689 | $46,842 |
| 288 | Lawrence, KS MSA | 119,363 | $5,586 | $46,798 |
| 289 | Topeka, KS MSA | 232,670 | $10,884 | $46,779 |
| 290 | Carbondale-Marion, IL MSA | 132,907 | $6,206 | $46,694 |
| 291 | Alexandria, LA MSA | 150,890 | $7,037 | $46,637 |
| 292 | Staunton, VA MSA | 125,774 | $5,865 | $46,631 |
| 293 | Stockton, CA MSA | 789,410 | $36,790 | $46,604 |
| 294 | Pine Bluff, AR MSA | 86,412 | $3,996 | $46,244 |
| 295 | Fayetteville, NC MSA | 524,588 | $24,254 | $46,234 |
| 296 | Racine, WI MSA | 196,896 | $9,100 | $46,217 |
| 297 | Huntington-Ashland, WV-KY-OH MSA | 356,581 | $16,470 | $46,189 |
| 298 | Warner Robins, GA MSA | 195,246 | $8,993 | $46,060 |
| 299 | Terre Haute, IN MSA | 184,910 | $8,502 | $45,979 |
| 300 | Rome, GA MSA | 98,771 | $4,539 | $45,955 |
| 301 | Bowling Green, KY MSA | 182,594 | $8,368 | $45,828 |
| 302 | Riverside-San Bernardino-Ontario, CA MSA | 4,653,105 | $213,183 | $45,815 |
