List of EU metropolitan regions by GDP


# List of EU metropolitan regions by GDP



A metropolitan region's **gross domestic product**, or **GDP**, is one of several measures of the size of its economy. Similar to GDP, GMP is defined as the market value of all final goods and services produced within a metropolitan region in a given period of time.


## 2021 ranking of metropolitan regions in the European Union

This list shows metropolitan regions in the European Union by 2021 GDP according to Eurostat.

In some of the EU member states, there can exist differently defined areas of various sizes, which may also be called metropolitan regions. For example, the four distinct metropolitan regions of Munich, Augsburg, Ingolstadt, and Rosenheim, as defined by Eurostat, all lie within the area of the Munich Metropolitan Region.

| Rank | Metropolitan region | GDP (mil. €) | Country |
| 161 | Göttingen metropolitan region | 16,559 | Germany |
| 162 | Amiens metropolitan region | 16,460 | France |
| 163 | Lübeck metropolitan region | 16,156 | Germany |
| 164 | Thessaloniki metropolitan region | 16,003 | Greece |
| 165 | Besançon metropolitan region | 15,970 | France |
| 166 | Koblenz metropolitan region | 15,881 | Germany |
| 167 | Iserlohn metropolitan region | 15,775 | Germany |
| 168 | Le Mans metropolitan region | 15,595 | France |
| 169 | Halle (Saale) metropolitan region | 15,509 | Germany |
| 170 | Bocholt metropolitan region | 15,141 | Germany |
| 171 | Siegen metropolitan region | 14,936 | Germany |
| 172 | Bielefeld metropolitan region | 14,847 | Germany |
| 173 | Rostock metropolitan region | 14,788 | Germany |
| 174 | Innsbruck metropolitan region | 14,788 | Austria |
| 175 | Charleroi metropolitan region | 14,734 | Belgium |
| 176 | Valletta metropolitan region | 14,676 | Malta |
| 177 | Córdoba metropolitan region | 14,616 | Spain |
| 178 | Valladolid metropolitan region | 14,294 | Spain |
| 179 | Santander metropolitan region | 14,022 | Spain |
| 180 | Wuppertal metropolitan region | 13,617 | Germany |
| 181 | Rosenheim metropolitan region | 13,073 | Germany |
| 182 | Vitoria-Gasteiz metropolitan region | 12,940 | Spain |
| 183 | Poitiers metropolitan region | 12,849 | France |
| 184 | Cluj-Napoca metropolitan region | 12,471 | Romania |
| 185 | Reutlingen metropolitan region | 12,270 | Germany |
| 186 | Košice metropolitan region | 12,253 | Slovakia |
| 187 | Perpignan metropolitan region | 12,252 | France |
| 188 | Cagliari metropolitan region | 12,059 | Italy |
| 189 | Pforzheim metropolitan region | 12,031 | Germany |
| 190 | Bydgoszcz-Toruń metropolitan region | 11,904 | Poland |
| 191 | Paderborn metropolitan region | 11,897 | Germany |
| 192 | Kaunas metropolitan region | 11,690 | Lithuania |
| 193 | Schweinfurt metropolitan region | 11,663 | Germany |
| 194 | Plzeň metropolitan region | 11,587 | Czech Republic |
| 195 | Messina metropolitan region | 11,585 | Italy |
| 196 | Taranto metropolitan region | 11,491 | Italy |
| 197 | Limoges metropolitan region | 11,268 | France |
| 198 | Leeuwarden metropolitan region | 11,255 | Netherlands |
| 199 | Timișoara metropolitan region | 11,147 | Romania |
| 200 | Konstanz metropolitan region | 11,111 | Germany |
| 201 | Giessen metropolitan region | 10,718 | Germany |
| 202 | Namur metropolitan region | 10,452 | Belgium |
| 203 | Zwickau metropolitan region | 10,231 | Germany |
| 204 | Bayreuth metropolitan region | 10,183 | Germany |
| 205 | Schwerin metropolitan region | 10,128 | Germany |
| 206 | Flensburg metropolitan region | 10,115 | Germany |
| 207 | Lublin metropolitan region | 9,765 | Poland |
| 208 | Les Abymes metropolitan region | 9,731 | France |
| 209 | Bielsko-Biała metropolitan region | 9,725 | Poland |
| 210 | Bremerhaven metropolitan region | 9,419 | Germany |
| 211 | Mönchengladbach metropolitan region | 9,340 | Germany |
| 212 | Constanța metropolitan region | 9,246 | Romania |
