List of countries by net goods exports


# List of countries by net goods exports



This is a **list of countries by net goods exports**, also known as **balance of trade**, which is the difference between the monetary value of a nation's exports and imports over a certain time period. The list includes sovereign states and self-governing dependent territories based upon the ISO standard ISO 3166-1. The following table shows the value of total annual merchandise exports and imports, expressed in millions of United States dollars (current prices), and the resulting trade balance, according to United Nations Conference on Trade and Development (UNCTAD), World Trade Organization (WTO), and World Bank (WB).

Countries with positive balance of trade have a trade surplus, countries with negative net exports have a trade deficit.


## List

Sorting is alphabetical by country code, according to ISO 3166-1 alpha-3.

Net goods exports *(USD current prices)*
| Country/Territory/Region/Group | UNCTAD | | | WTO | | | WB | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Exports 2023 | Imports 2023 | Trade balance 2023 | Exports 2023 | Imports 2023 | Trade balance 2023 | Exports | Year | Imports | Year | Trade balance | Year |
| (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) | (millions USD) |
| Comoros | 30.64 | 374.67 | −344.03 | 30.64 | 374.67 | −344.03 | 55.50 | 2022 | 271.90 | 2022 | −216.39 | 2022 |
| Cape Verde | 54.47 | 980.45 | −925.98 | 54.47 | 980.45 | −925.99 | 256.54 | 2023 | 1148.34 | 2023 | −891.80 | 2023 |
| Costa Rica | 19025.19 | 24039.27 | −5014.08 | 19025.19 | 24039.27 | −5014.08 | 18856.84 | 2023 | 22101.64 | 2023 | −3244.80 | 2023 |
| Cuba | 1939.00 | 8919.60 | −6980.60 | 1939.00 | 8919.60 | −6980.60 | |
| Curaçao | 533.25 | 1836.11 | −1302.86 | 533.25 | 1836.11 | −1302.86 | 553.13 | 2022 | 2023.01 | 2022 | −1469.88 | 2022 |
| Cayman Islands | 36.55 | 2682.94 | −2646.39 | 36.55 | 2682.94 | −2646.39 | 698.45 | 2021 | 1387.21 | 2021 | −688.75 | 2021 |
| Cyprus | 4453.35 | 13987.31 | −9533.96 | 4453.35 | 13987.31 | −9533.96 | 4698.96 | 2023 | 12388.88 | 2023 | −7689.92 | 2023 |
| Czech Republic | 255450.48 | 230599.06 | 24851.42 | 255450.48 | 230599.06 | 24851.43 | 196981.61 | 2023 | 183906.40 | 2023 | 13075.22 | 2023 |
| Germany | 1688419.20 | 1462601.70 | 225817.50 | 1688419.22 | 1462601.75 | 225817.48 | 1664307.25 | 2023 | 1418986.36 | 2023 | 245320.89 | 2023 |
| Djibouti | 5001.60 | 4662.80 | 338.80 | 5001.60 | 4662.80 | 338.80 | 4600.90 | 2022 | 4327.52 | 2022 | 273.37 | 2022 |
| Dominica | 15.29 | 298.42 | −283.13 | 15.29 | 298.42 | −283.13 | 23.18 | 2023 | 265.49 | 2023 | −242.31 | 2023 |
| Denmark | 136630.58 | 126652.97 | 9977.61 | 136630.58 | 126652.97 | 9977.61 | 164535.24 | 2023 | 133442.93 | 2023 | 31092.31 | 2023 |
