List of countries by future gross government debt


# List of countries by future gross government debt



This is a list of countries by estimated future grossᶜˡᵃʳⁱᶠⁱᶜᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ central government debt based on data released in October 2020 by the International Monetary Fund, with figures in percentage of national GDP.


## Projected debt estimates

**Gross government debt (sortable; in percent of GDP)**
| Country | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 |
| Israel | 60.607 | 60.877 | 59.979 | 76.521 | 80.002 | 81.420 | 82.239 | 82.647 | 82.683 |
| Italy | 134.145 | 134.808 | 134.804 | 161.849 | 158.305 | 156.569 | 154.874 | 153.830 | 152.568 |
| Jamaica | 101.292 | 94.405 | 93.861 | 101.334 | 92.432 | 84.277 | 77.427 | 72.159 | 67.323 |
| Japan | 234.462 | 236.568 | 237.955 | 266.176 | 263.968 | 263.045 | 262.785 | 263.016 | 263.985 |
| Jordan | 76.022 | 75.061 | 78.015 | 88.382 | 88.839 | 88.019 | 86.123 | 82.749 | 79.885 |
| Kazakhstan | 19.869 | 20.259 | 19.944 | 23.441 | 24.108 | 25.340 | 26.241 | 28.019 | 29.770 |
| Kenya | 56.881 | 60.235 | 62.099 | 66.389 | 70.463 | 73.329 | 76.262 | 77.745 | 78.625 |
| Kiribati | 21.423 | 19.708 | 18.344 | 17.722 | 24.952 | 31.521 | 37.600 | 43.223 | 48.452 |
| Kosovo | 16.232 | 16.953 | 17.529 | 23.379 | 25.853 | 27.998 | 29.613 | 31.152 | 32.567 |
| Kuwait | 20.485 | 14.838 | 11.771 | 19.255 | 36.570 | 49.341 | 65.225 | 78.422 | 89.925 |
| Kyrgyzstan | 58.786 | 54.818 | 54.144 | 68.082 | 66.785 | 64.055 | 61.243 | 59.684 | 58.638 |
| Laos | 57.198 | 59.650 | 62.643 | 70.937 | 70.659 | 70.617 | 70.037 | 68.848 | 67.443 |
| Latvia | 40.327 | 36.509 | 36.756 | 44.063 | 45.024 | 42.998 | 40.853 | 39.619 | 38.503 |
| Lebanon | 149.668 | 154.907 | 174.482 | 171.666 | n/a | n/a | n/a | n/a | n/a |
| Lesotho | 38.005 | 46.521 | 46.460 | 47.168 | 45.776 | 43.795 | 41.893 | 40.560 | 39.032 |
| Liberia | 33.901 | 39.419 | 53.274 | 61.750 | 63.555 | 64.188 | 63.178 | 61.640 | 60.294 |
| Libya | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a | n/a |
| Lithuania | 39.344 | 34.078 | 37.665 | 48.252 | 47.682 | 44.928 | 42.249 | 40.001 | 37.636 |
| Luxembourg | 22.348 | 20.996 | 22.056 | 26.906 | 27.485 | 28.321 | 28.370 | 28.416 | 28.42 |
| *Macau* | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 |
