List of federal subjects of Russia by GDP per capita


# List of federal subjects of Russia by GDP per capita



Tyumen Oblast has largest **GRDP per capita** in Russia of around US$ 49,000 while Ingushetia has lowest of around US$ 2,000.In 2022, Moscow GRDP per capita reached US$ 30,000 while Saint Petersburg stood at US$ 27,000.


## List

This is a **list of Russian federal subjects by GRDP per capita**.


## Historical data

Gross regional product per capita at purchasing power parity in US dollars.

| Federal subject | 1998 | 1999 | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 |
| Samara Oblast | 9,789 | 9,028 | 8,958 | 10,145 | 10,284 | 11,501 | 12,545 | 13,339 | 14,493 | 15,694 | 16,223 | 13,387 | 14,149 | 14,959 | 15,941 | 17,090 |
| Saratov Oblast | 4,879 | 4,548 | 4,885 | 5,720 | 5,889 | 6,553 | 7,142 | 7,030 | 7,583 | 8,522 | 9,422 | 9,486 | 9,742 | 9,884 | 10,430 | 11,155 |
| Ulyanovsk Oblast | 4,901 | 4,598 | 4,486 | 5,050 | 5,325 | 5,825 | 6,139 | 6,404 | 7,329 | 8,159 | 8,579 | 8,726 | 9,001 | 10,025 | 10,284 | 10,804 |
| **Ural Federal District** | 12,022 | 11,742 | 14,525 | 16,568 | 17,440 | 19,512 | 22,587 | 27,206 | 29,456 | 30,325 | 29,802 | 26,649 | 27,719 | 30,047 | 31,873 | 33,027 |
| Kurgan Oblast | 4,230 | 3,914 | 3,721 | 4,494 | 4,731 | 5,327 | 5,308 | 5,538 | 6,875 | 7,454 | 8,537 | 8,643 | 8,444 | 8,708 | 8,957 | 9,883 |
| Sverdlovsk Oblast | 7,579 | 6,901 | 7,168 | 8,116 | 8,449 | 9,255 | 10,216 | 11,639 | 14,427 | 16,406 | 15,986 | 14,134 | 15,921 | 17,299 | 18,820 | 19,376 |
| Tyumen Oblast | 28,059 | 27,666 | 37,066 | 42,722 | 44,577 | 49,434 | 57,897 | 72,086 | 74,085 | 71,869 | 69,812 | 62,979 | 63,708 | 69,076 | 72,530 | 75,014 |
| Chelyabinsk Oblast | 5,820 | 6,084 | 6,916 | 7,214 | 7,727 | 8,904 | 10,135 | 10,618 | 12,213 | 14,247 | 14,240 | 11,807 | 12,284 | 12,837 | 13,212 | 13,298 |
| **Siberian Federal District** | 7,005 | 6,417 | 7,057 | 7,666 | 7,978 | 8,790 | 10,219 | 10,668 | 12,051 | 13,374 | 13,333 | 12,984 | 14,033 | 14,379 | 14,710 | 15,140 |
| Altai Republic | 3,638 | 3,050 | 2,829 | 4,077 | 4,231 | 4,933 | 5,206 | 4,668 | 5,516 | 6,452 | 6,853 | 7,171 | 7,117 | 7,330 | 7,946 | 8,272 |
| Republic of Buryatia | 5,246 | 4,522 | 4,516 | 5,577 | 6,231 | 7,749 | 8,132 | 8,279 | 9,101 | 9,627 | 9,651 | 9,243 | 9,004 | 9,117 | 9,266 | 9,635 |
| Republic of Tuva | 3,067 | 2,512 | 2,462 | 3,130 | 3,626 | 3,856 | 3,999 | 4,115 | 4,797 | 5,529 | 5,857 | 6,490 | 6,545 | 6,236 | 6,590 | 7,078 |
| Republic of Khakassia | 6,943 | 6,649 | 6,565 | 6,679 | 7,512 | 7,726 | 7,591 | 8,338 | 9,663 | 10,370 | 10,165 | 11,239 | 11,805 | 12,250 | 13,405 | 14,190 |
| Altai Krai | 3,837 | 3,441 | 3,700 | 4,325 | 4,527 | 4,970 | 5,561 | 5,762 | 6,694 | 7,846 | 7,923 | 8,055 | 8,179 | 7,937 | 8,392 | 9,049 |
| Trans-Baikal Krai | 5,078 | 4,883 | 5,305 | 5,515 | 6,218 | 6,710 | 6,664 | 6,611 | 7,769 | 8,606 | 9,443 | 9,892 | 9,854 | 10,658 | 11,154 | 11,092 |
| Krasnoyarsk Krai | 10,985 | 11,565 | 14,934 | 14,724 | 12,571 | 13,411 | 15,506 | 16,317 | 19,649 | 22,339 | 19,453 | 19,529 | 24,404 | 23,819 | 22,748 | 23,262 |
| Irkutsk Oblast | 9,020 | 8,248 | 8,195 | 8,470 | 8,759 | 9,487 | 10,398 | 11,019 | 12,785 | 14,143 | 13,375 | 13,859 | 14,685 | 15,078 | 16,643 | 17,362 |
| Kemerovo Oblast | 6,861 | 6,113 | 6,295 | 7,145 | 7,579 | 8,303 | 10,625 | 11,218 | 11,729 | 13,599 | 15,490 | 13,636 | 14,805 | 15,713 | 14,292 | 12,874 |
| Novosibirsk Oblast | 6,028 | 5,448 | 5,546 | 6,471 | 7,385 | 8,312 | 8,892 | 9,474 | 10,702 | 11,948 | 12,811 | 11,830 | 11,895 | 12,892 | 14,748 | 15,928 |
| Omsk Oblast | 5,967 | 4,434 | 4,534 | 5,375 | 7,185 | 8,076 | 11,682 | 11,668 | 12,517 | 12,806 | 13,056 | 12,503 | 12,647 | 13,172 | 13,604 | 14,784 |
| Tomsk Oblast | 9,137 | 7,090 | 8,042 | 9,975 | 11,662 | 13,504 | 15,853 | 16,636 | 17,675 | 18,096 | 18,077 | 17,521 | 17,841 | 18,277 | 19,133 | 19,897 |
| **Far East Federal District** | 9,749 | 9,502 | 9,414 | 10,617 | 11,353 | 12,238 | 12,775 | 13,616 | 14,891 | 17,297 | 18,052 | 20,188 | 21,921 | 23,266 | 23,595 | 23,743 |
| Republic of Sakha (Yakutia) | 16,336 | 18,242 | 17,887 | 19,451 | 19,596 | 20,296 | 19,964 | 20,548 | 20,751 | 21,909 | 24,131 | 25,291 | 26,421 | 29,325 | 30,952 | 31,429 |
| Kamchatka Krai | 14,550 | 11,175 | 10,289 | 11,640 | 11,634 | 12,169 | 12,525 | 13,839 | 16,116 | 17,343 | 17,815 | 21,558 | 20,935 | 20,547 | 21,735 | 21,672 |
| Primorsky Krai | 6,894 | 6,968 | 6,105 | 6,370 | 7,542 | 8,403 | 9,247 | 9,905 | 10,359 | 11,294 | 11,987 | 13,849 | 15,723 | 16,235 | 15,632 | 15,628 |
| Khabarovsk Krai | 9,348 | 7,658 | 9,254 | 10,115 | 11,348 | 11,826 | 11,732 | 12,449 | 13,608 | 14,731 | 14,867 | 15,143 | 17,194 | 17,157 | 17,832 | 18,633 |
| Amur Oblast | 7,234 | 6,184 | 5,933 | 7,833 | 8,159 | 8,619 | 9,027 | 9,487 | 10,648 | 11,402 | 11,682 | 13,333 | 14,061 | 15,749 | 15,303 | 13,686 |
| Magadan Oblast | 15,477 | 14,360 | 13,766 | 16,554 | 19,614 | 19,589 | 17,307 | 16,897 | 17,730 | 18,453 | 19,343 | 22,108 | 24,735 | 26,756 | 27,932 | 30,843 |
| Sakhalin Oblast | 10,263 | 12,874 | 12,905 | 15,594 | 13,897 | 16,915 | 21,288 | 24,660 | 30,772 | 48,394 | 49,154 | 57,590 | 63,965 | 69,757 | 70,957 | 72,212 |
| Jewish Autonomous Oblast | 3,609 | 4,326 | 4,082 | 4,576 | 5,785 | 6,549 | 7,429 | 8,279 | 9,543 | 11,455 | 10,042 | 10,514 | 11,676 | 12,975 | 13,460 | 11,651 |
| Chukotka Autonomous District | 18,132 | 14,025 | 13,820 | 22,651 | 30,304 | 37,240 | 29,484 | 25,392 | 28,281 | 34,314 | 43,511 | 64,419 | 50,258 | 50,926 | 49,009 | 48,919 |

