List of Turkish provinces by GDP


# List of Turkish provinces by GDP



This is a **list of Turkish provinces by GDP** and GDP per capita.


## List of provinces by GDP

Provinces by GDP in 2021 according to data by the Turkish Statistical Institute.

List of provinces in Turkey by GDP in 2021 (millions of GDP)
| Average annual exchange rate in 2021: TRY 8.9808 per U.S. dollar | | | |
| --- | --- | --- | --- |
| Rank | Provinces | GDP (TRY) | GDP (US$) | Share (%) |
| 45 | Ardahan | 210.665 | 8,917 | 66 |
| 46 | Hatay | 209.470 | 8,843 | 65 |
| 47 | Afyonkarahisar | 207.748 | 8,637 | 65 |
| 48 | Kahramanmaraş | 202.889 | 8,563 | 64 |
| 49 | Niğde | 201.155 | 8,563 | 64 |
| 50 | Sivas | 201.152 | 8,385 | 64 |
| 51 | Elazığ | 196.988 | 8,331 | 63 |
| 52 | Amasya | 195.705 | 8,309 | 61 |
| 53 | Trabzon | 195.199 | 8,089 | 60 |
| 54 | Rize | 190.012 | 8,027 | 58 |
| 55 | Osmaniye | 188.575 | 7,878 | 58 |
| 56 | Bartın | 185.073 | 7,830 | 58 |
| 57 | Çorum | 183.934 | 7,824 | 57 |
| 58 | Sinop | 183.788 | 7,817 | 57 |
| 59 | Malatya | 183.637 | 7,794 | 57 |
| 60 | Şırnak | 183.090 | 7,555 | 55 |
| 61 | Erzurum | 177.490 | 7,365 | 53 |
| 62 | Yozgat | 173.009 | 7,266 | 53 |
| 63 | Mardin | 170.700 | 7,236 | 52 |
| 64 | Hakkari | 169.974 | 6,861 | 51 |
| 65 | Siirt | 161.172 | 6,702 | 50 |
| 66 | Giresun | 157.447 | 6,695 | 49 |
| 67 | Ordu | 157.272 | 6,651 | 48 |
| 68 | Bayburt | 156.247 | 6,606 | 48 |
| 69 | Adıyaman | 155.192 | 6,564 | 48 |
| 70 | Iğdır | 154.203 | 6,554 | 46 |
| 71 | Kars | 153.966 | 6,545 | 45 |
| 72 | Gümüşhane | 153.764 | 6,416 | 45 |
| 73 | Bingöl | 150.723 | 6,165 | 45 |
| 74 | Tokat | 144.815 | 6,106 | 44 |
| 75 | Batman | 143.435 | 5,866 | 44 |
| 76 | Diyarbakır | 137.793 | 5,762 | 41 |
| 77 | Muş | 135.358 | 5,634 | 41 |
| 78 | Bitlis | 132.342 | 5,550 | 38 |
| 79 | Şanlıurfa | 130.382 | 4,971 | 36 |
| 80 | Ağrı | 116.767 | 4,706 | 31 |
| 81 | Van | 110.553 | 4,598 | 31 |
| Turkey | **311,110** | **13,243** | 100 |

